# File:UrbanShare_SSP.csv
# Title: country level urban share from SSP database across SSPs
# Units:ppl, constant 2015 prices
# Source: SSP database
# Column types: cccccnnnnnnnnnn
# ----------
MODEL,SCENARIO,REGION,VARIABLE,UNIT,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
NCAR,SSP1_v9_130115,FIN,Population|Urban|Share,%,85.09,87.28193688,89.12655019,90.68355178,92.00184179,93.12136539,94.07477514,94.88883165,95.58554736,96.1831057
NCAR,SSP1_v9_130115,FRA,Population|Urban|Share,%,85.251,87.48313752,89.25855516,90.69540072,91.87595697,92.85876289,93.686335,94.39015573,94.99395525,95.51591315
NCAR,SSP1_v9_130115,GAB,Population|Urban|Share,%,86.028,88.75731801,90.04117856,90.74068928,91.15233935,91.40561013,91.56571653,91.66866635,91.73558985,91.77940289
NCAR,SSP1_v9_130115,GBR,Population|Urban|Share,%,79.638,85.5281504,90.28088832,93.7735633,96.14957807,97.67605457,98.61922093,99.18755328,99.52475961,99.72297698
NCAR,SSP1_v9_130115,GEO,Population|Urban|Share,%,52.747,60.76034271,68.08956148,74.50808256,79.93131316,84.38437527,87.96008483,90.78244971,92.98129573,94.67755209
NCAR,SSP1_v9_130115,GHA,Population|Urban|Share,%,51.471,60.48365561,68.21373628,74.59403147,79.74529178,83.85739082,87.12404491,89.71593481,91.77387885,93.41048045
NCAR,SSP1_v9_130115,GIN,Population|Urban|Share,%,35.361,44.86833304,54.04677186,62.31537581,69.40761882,75.30134687,80.10814869,83.98898267,87.10731393,89.60887786
NCAR,SSP1_v9_130115,GMB,Population|Urban|Share,%,58.149,65.60969104,72.75336964,79.18975166,84.64057445,88.99615836,92.30532906,94.71871511,96.42451249,97.60282553
NCAR,SSP1_v9_130115,GNB,Population|Urban|Share,%,30.003,39.51203282,49.32958512,58.65401066,66.9331367,73.92791926,79.63873525,84.19740627,87.78429034,90.58100422
NCAR,SSP1_v9_130115,GRC,Population|Urban|Share,%,61.414,68.89378765,75.34457739,80.71709926,85.07356887,88.53591371,91.24688491,93.34624402,94.95877775,96.18993775
NCAR,SSP1_v9_130115,GTM,Population|Urban|Share,%,49.458,57.94305068,65.7265773,72.54143175,78.29342515,83.01504111,86.81151862,89.81811733,92.17288635,94.00222822
NCAR,SSP1_v9_130115,HND,Population|Urban|Share,%,51.604,60.27037176,67.78212122,74.05640152,79.18048495,83.31298135,86.62487481,89.27231926,91.38763007,93.07883256
NCAR,SSP1_v9_130115,HRV,Population|Urban|Share,%,57.738,65.44191883,72.30024957,78.16557555,83.0205504,86.93675053,90.03305805,92.44390754,94.29938107,95.71498949
NCAR,SSP1_v9_130115,HTI,Population|Urban|Share,%,52.087,66.75828582,75.6282817,81.14313074,84.78826694,87.33795727,89.20603243,90.6265362,91.73954226,92.63318566
NCAR,SSP1_v9_130115,HUN,Population|Urban|Share,%,68.095,72.5768182,76.91608876,80.97679366,84.64432567,87.84221544,90.5395115,92.74750494,94.50883161,95.88392306
NCAR,SSP1_v9_130115,IDN,Population|Urban|Share,%,44.281,54.0112224,62.38698774,69.26818011,74.79883984,79.21464442,82.74655967,85.58818918,87.89184095,89.77432007
NCAR,SSP1_v9_130115,IND,Population|Urban|Share,%,30.01,39.51907114,49.33659353,58.66107504,66.94033741,73.93523383,79.64604098,84.20453235,87.7910693,90.58730308
NCAR,SSP1_v9_130115,IRL,Population|Urban|Share,%,61.941,69.78340887,75.75762461,80.30861828,83.8124747,86.54899192,88.71801309,90.46125934,91.87995774,93.04737328
NCAR,SSP1_v9_130115,IRN,Population|Urban|Share,%,70.753,79.28177697,84.21024893,87.33794323,89.47422741,91.01653489,92.17820468,93.08263018,93.80564918,94.39623966
NCAR,SSP1_v9_130115,IRQ,Population|Urban|Share,%,66.173,73.067918,78.2806973,82.25261214,85.32244566,87.73280045,89.65435762,91.20761418,92.47869176,93.53011857
NCAR,SSP1_v9_130115,ISR,Population|Urban|Share,%,91.853,92.18541941,92.50538193,92.81326512,93.10944242,93.39428249,93.66814864,93.93139837,94.18438289,94.4274468
NCAR,SSP1_v9_130115,ITA,Population|Urban|Share,%,68.36,74.40159213,79.1857749,82.97295173,85.98565945,88.39943306,90.34837582,91.93392362,93.23286963,94.30371575
NCAR,SSP1_v9_130115,JAM,Population|Urban|Share,%,52.006,60.61375423,68.08757401,74.34065529,79.4530422,83.57728271,86.88064741,89.51758216,91.61999879,93.29622459
NCAR,SSP1_v9_130115,JOR,Population|Urban|Share,%,78.527,85.45668995,89.92963201,92.90249058,94.93091963,96.34409801,97.34437141,98.06082819,98.57853848,98.95508419
NCAR,SSP1_v9_130115,JPN,Population|Urban|Share,%,66.833,73.48921992,78.54185148,82.40885627,85.41013832,87.77549037,89.66736041,91.2010122,92.45921914,93.50233728
NCAR,SSP1_v9_130115,KAZ,Population|Urban|Share,%,58.506,66.25578784,73.23873468,79.24315012,84.20045262,88.15682156,91.22934271,93.56506067,95.31191006,96.60242583
NCAR,SSP1_v9_130115,KEN,Population|Urban|Share,%,22.18,31.1705431,40.92137963,50.43832096,58.99851767,66.29036252,72.31005342,77.2049041,81.16512189,84.3714227
NCAR,SSP1_v9_130115,KGZ,Population|Urban|Share,%,34.549,44.24301876,53.46538004,61.63315295,68.5375978,74.22138184,78.84110416,82.5800963,85.60803035,88.06770223
NCAR,SSP1_v9_130115,KHM,Population|Urban|Share,%,20.108,27.68302161,36.57347463,46.20825779,55.84488708,64.79754259,72.60905408,79.09246553,84.2727493,88.29728886
NCAR,SSP1_v9_130115,KOR,Population|Urban|Share,%,82.958,85.6173729,88.01051349,90.11844874,91.93859021,93.48222418,94.7707787,95.8318194,96.69549312,97.39179944
NCAR,SSP1_v9_130115,LAO,Population|Urban|Share,%,33.184,47.57007392,60.29268867,70.2199098,77.56388286,82.9308314,86.87640246,89.8127798,92.0273883,93.71838304
NCAR,SSP1_v9_130115,LBN,Population|Urban|Share,%,87.244,89.09759518,90.3989511,91.35752301,92.08963222,92.66471781,93.12666462,93.50451244,93.81821772,94.08193464
NCAR,SSP1_v9_130115,LBR,Population|Urban|Share,%,47.815,57.31377489,65.65464866,72.63564548,78.30833678,82.84161954,86.43351487,89.26888502,91.50469128,93.26830243
NCAR,SSP1_v9_130115,LBY,Population|Urban|Share,%,77.888,84.78167,89.38527002,92.50829489,94.662821,96.17068933,97.23802391,98.00009573,98.54775373,98.94322651
NCAR,SSP1_v9_130115,LKA,Population|Urban|Share,%,14.312,20.51217351,28.40253011,37.7339682,47.89128576,58.03758273,67.38074995,75.39417791,81.88013604,86.89964998
NCAR,SSP1_v9_130115,LSO,Population|Urban|Share,%,26.884,39.11821536,51.6133933,62.73812848,71.78071223,78.76951324,84.0451638,87.99322393,90.94383311,93.15310083
NCAR,SSP1_v9_130115,LTU,Population|Urban|Share,%,66.984,73.39828279,78.30603074,82.09107528,85.04934556,87.39550528,89.28275465,90.82071762,92.08869362,93.14486729
